attribute_value	for	fnr	for_disparity	fnr_disparity
alvaro obregon	0.3868723641999784	0.9123597415844951	1.0580868387135953	1.0177327401227745
azcapotzalco	0.43066241321073373	0.8581577963355353	1.1778515952909174	0.957270740602271
benito juarez	0.4146515234063954	0.682721501518079	1.1340621873473014	0.7615724289566106
coyoacan	0.4034532182260591	0.9023408379305203	1.1034350854303308	1.0065567030794504
cuajimalpa	0.33533260632497275	0.9111111111111111	0.9171268102277149	1.0163398990589294
cuauhtemoc	0.4513501549358123	0.7328222328701486	1.2344320835025202	0.8174595448354238
gustavo a madero	0.42042354163959983	0.8723782822019733	1.1498485217834606	0.9731336216425858
iztacalco	0.4109813697192338	0.847767253044655	1.124024403127505	0.9456801413980287
iztapalapa	0.36563384974179575	0.8964629962424441	1.0	1.0
magdalena contreras	0.3690939410783769	0.9034013605442177	1.0094632686197533	1.0077397107642547
miguel hidalgo	0.42692344666260773	0.8810342547282105	1.167625609510973	0.9827893158123607
milpa alta	0.454337899543379	0.8274428274428275	1.2426034949013187	0.923008346034452
tlahuac	0.39508700102354144	0.8728643216080402	1.0805536776820446	0.9736757961752815
tlalpan	0.3873539694721583	0.9160112925993144	1.0594040178328699	1.0218060270628098
venustiano carranza	0.4214677071226963	0.8272097759674134	1.15270428987997	0.9227483782762836
xochimilco	0.3595747737394053	0.9024698034973859	0.983428569300492	1.0067005635259008
